table_id,contentscode,timeperiod_q,contentscode_text,timeperiod_q_text,value,value_str,source,updated
11l1,atp_lkm,2013Q1,Job vacancies,2013Q1,45300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2013Q2,Job vacancies,2013Q2,32500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2013Q3,Job vacancies,2013Q3,23500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2013Q4,Job vacancies,2013Q4,16600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2014Q1,Job vacancies,2014Q1,46000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2014Q2,Job vacancies,2014Q2,27800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2014Q3,Job vacancies,2014Q3,20500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2014Q4,Job vacancies,2014Q4,19800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2015Q1,Job vacancies,2015Q1,43900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2015Q2,Job vacancies,2015Q2,28800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2015Q3,Job vacancies,2015Q3,21200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2015Q4,Job vacancies,2015Q4,21900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2016Q1,Job vacancies,2016Q1,48000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2016Q2,Job vacancies,2016Q2,30600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2016Q3,Job vacancies,2016Q3,30800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2016Q4,Job vacancies,2016Q4,26400,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2017Q1,Job vacancies,2017Q1,58000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2017Q2,Job vacancies,2017Q2,36800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2017Q3,Job vacancies,2017Q3,34300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2017Q4,Job vacancies,2017Q4,37200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2018Q1,Job vacancies,2018Q1,60100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2018Q2,Job vacancies,2018Q2,49500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11l1,atp_lkm,2018Q3,Job vacancies,2018Q3,46900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
