table_id,alue_16_20180101,timeperiod_q,contentscode,alue_16_20180101_text,timeperiod_q_text,contentscode_text,value,value_str,source,updated
11n1,SSS,2013Q1,atp_lkm,WHOLE COUNTRY,2013Q1,Job vacancies,45300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2013Q2,atp_lkm,WHOLE COUNTRY,2013Q2,Job vacancies,32500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2013Q3,atp_lkm,WHOLE COUNTRY,2013Q3,Job vacancies,23500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2013Q4,atp_lkm,WHOLE COUNTRY,2013Q4,Job vacancies,16600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2014Q1,atp_lkm,WHOLE COUNTRY,2014Q1,Job vacancies,46000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2014Q2,atp_lkm,WHOLE COUNTRY,2014Q2,Job vacancies,27800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2014Q3,atp_lkm,WHOLE COUNTRY,2014Q3,Job vacancies,20500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2014Q4,atp_lkm,WHOLE COUNTRY,2014Q4,Job vacancies,19800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2015Q1,atp_lkm,WHOLE COUNTRY,2015Q1,Job vacancies,43900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2015Q2,atp_lkm,WHOLE COUNTRY,2015Q2,Job vacancies,28800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2015Q3,atp_lkm,WHOLE COUNTRY,2015Q3,Job vacancies,21200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2015Q4,atp_lkm,WHOLE COUNTRY,2015Q4,Job vacancies,21900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2016Q1,atp_lkm,WHOLE COUNTRY,2016Q1,Job vacancies,48000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2016Q2,atp_lkm,WHOLE COUNTRY,2016Q2,Job vacancies,30600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2016Q3,atp_lkm,WHOLE COUNTRY,2016Q3,Job vacancies,30800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2016Q4,atp_lkm,WHOLE COUNTRY,2016Q4,Job vacancies,26400,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2017Q1,atp_lkm,WHOLE COUNTRY,2017Q1,Job vacancies,58000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2017Q2,atp_lkm,WHOLE COUNTRY,2017Q2,Job vacancies,36800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2017Q3,atp_lkm,WHOLE COUNTRY,2017Q3,Job vacancies,34300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2017Q4,atp_lkm,WHOLE COUNTRY,2017Q4,Job vacancies,37200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SSS,2018Q1,atp_lkm,WHOLE COUNTRY,2018Q1,Job vacancies,60100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
