table_id,Alue,timeperiod_m,contentscode,timeperiod_q,Alue_text,timeperiod_m_text,contentscode_text,value,value_str,source,updated,agg_source_months
12r5,SSS,,AVPAIKATLOPUSSA,2009Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),40784,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M03
12r5,SSS,,UUDETAVP,2009Q1,WHOLE COUNTRY,,New vacancies during the month (number),45045,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M03
12r5,SSS,,AVPAIKATLOPUSSA,2009Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),19311,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M06
12r5,SSS,,UUDETAVP,2009Q2,WHOLE COUNTRY,,New vacancies during the month (number),28796,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M06
12r5,SSS,,AVPAIKATLOPUSSA,2009Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),19906,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M09
12r5,SSS,,UUDETAVP,2009Q3,WHOLE COUNTRY,,New vacancies during the month (number),29840,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M09
12r5,SSS,,AVPAIKATLOPUSSA,2009Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),18302,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M12
12r5,SSS,,UUDETAVP,2009Q4,WHOLE COUNTRY,,New vacancies during the month (number),25949,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2009M12
12r5,SSS,,AVPAIKATLOPUSSA,2010Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),41377,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2010M03
12r5,SSS,,UUDETAVP,2010Q1,WHOLE COUNTRY,,New vacancies during the month (number),52349,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2010M03
12r5,SSS,,AVPAIKATLOPUSSA,2010Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),21137,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2010M06
12r5,SSS,,UUDETAVP,2010Q2,WHOLE COUNTRY,,New vacancies during the month (number),32936,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2010M06
12r5,SSS,,AVPAIKATLOPUSSA,2010Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),25189,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2010M09
12r5,SSS,,UUDETAVP,2010Q3,WHOLE COUNTRY,,New vacancies during the month (number),39620,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2010M09
