table_id,dimension_signature,expected_periods,n_time_periods,missing_quarters,missing_values,time_first,time_last,coverage_status,issue_reason
11l1,contentscode=atp_lkm,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11l1,contentscode=atp_eihoit,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11l1,contentscode=atp_osa,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11l1,contentscode=atp_maar,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11l1,contentscode=atp_vaik,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11n1,alue_16_20180101=SSS|contentscode=atp_lkm,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11n1,alue_16_20180101=SA1|contentscode=atp_lkm,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11n1,alue_16_20180101=SA2|contentscode=atp_lkm,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11n1,alue_16_20180101=SA3|contentscode=atp_lkm,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
11n1,alue_16_20180101=SA4|contentscode=atp_lkm,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
12tu,Alue=MK01|Ammattiryhmä=SSS|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
12tu,Alue=MK01|Ammattiryhmä=1111|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,7,2013Q1,2026Q2,REVIEW,7 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1112|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,10,2013Q1,2026Q2,REVIEW,10 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1114|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,11,2013Q1,2026Q2,REVIEW,11 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1120|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,16,2013Q1,2026Q2,REVIEW,16 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1211|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,27,2013Q1,2026Q2,REVIEW,27 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1212|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,13,2013Q1,2026Q2,REVIEW,13 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1213|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,16,2013Q1,2026Q2,REVIEW,16 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1219|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,4,2013Q1,2026Q2,REVIEW,4 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1221|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
12tu,Alue=MK01|Ammattiryhmä=1222|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,38,2013Q1,2026Q2,REVIEW,38 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1223|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,36,2013Q1,2026Q2,REVIEW,36 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1311|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,11,2013Q1,2026Q2,REVIEW,11 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1312|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,2,2013Q1,2026Q2,REVIEW,2 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1321|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,24,2013Q1,2026Q2,REVIEW,24 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1322|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,0,2013Q1,2026Q2,PASS,complete quarterly coverage and values
12tu,Alue=MK01|Ammattiryhmä=1323|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,17,2013Q1,2026Q2,REVIEW,17 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1324|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,11,2013Q1,2026Q2,REVIEW,11 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1330|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,17,2013Q1,2026Q2,REVIEW,17 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1341|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,2,2013Q1,2026Q2,REVIEW,2 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1342|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,27,2013Q1,2026Q2,REVIEW,27 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1343|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,27,2013Q1,2026Q2,REVIEW,27 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1344|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,14,2013Q1,2026Q2,REVIEW,14 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1345|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,3,2013Q1,2026Q2,REVIEW,3 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1346|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,23,2013Q1,2026Q2,REVIEW,23 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1349|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,36,2013Q1,2026Q2,REVIEW,36 missing value(s)
12tu,Alue=MK01|Ammattiryhmä=1411|Työmarkkina-asema=SSS|timeperiod_m=None|contentscode=AVPAIKATYHT,54,54,0,22,2013Q1,2026Q2,REVIEW,22 missing value(s)
