doc_id,title,language,published,source,url
statfin_cmfxzvr0kgj1k07w3ya6x3vac,Number of job vacancies in the second quarter of 2026 almost unchanged from one year earlier,en,,statfin,https://stat.fi/en/publication/cmfxzvr0kgj1k07w3ya6x3vac
statfin_cmfxzoyr4gknl07utaizfva9c,Fewer job vacancies in the first quarter of 2026 than one year earlier,en,,statfin,https://stat.fi/en/publication/cmfxzoyr4gknl07utaizfva9c
statfin_cmfxzk126ghiz07utgwlf7ipu,Fewer job vacancies in 2025 than one year earlier,en,,statfin,https://stat.fi/en/publication/cmfxzk126ghiz07utgwlf7ipu
keha_2025090193452,Employment Bulletin May 2025,en,2025-06-25,keha,https://urn.fi/URN:NBN:fi-fe2025090193452
keha_2025090193440,Työllisyyskatsaus maaliskuu 2025,fi,2025-04-24,keha,https://urn.fi/URN:NBN:fi-fe2025090193440
keha_2025090995063,Employment Bulletin February 2025,en,2025-03-25,keha,https://urn.fi/URN:NBN:fi-fe2025090995063
keha_2026061569516,Employment Bulletin May 2026 ﻿,en,2026-06-24,keha,https://urn.fi/URN:NBN:fi-fe2026061569516
keha_2026032322451,Employment Bulletin February 2026 ﻿,,2026-03-24,keha,https://urn.fi/URN:NBN:fi-fe2026032322451
keha_2025090193453,Työllisyyskatsaus kesäkuu 2025,fi,2025-07-22,keha,https://urn.fi/URN:NBN:fi-fe2025090193453
keha_2025090193442,Employment Bulletin March 2025,,2025-04-24,keha,https://urn.fi/URN:NBN:fi-fe2025090193442
keha_202601238376,Employment Bulletin December 2025 ﻿ ﻿,en,2026-01-27,keha,https://urn.fi/URN:NBN:fi-fe202601238376
keha_2025090193448,Employment Bulletin April 2025,en,2025-05-22,keha,https://urn.fi/URN:NBN:fi-fe2025090193448
keha_2026041728649,Employment Bulletin March 2026 ﻿,en,2026-04-22,keha,https://urn.fi/URN:NBN:fi-fe2026041728649
keha_2025090193456,Työllisyyskatsaus heinäkuu 2025,fi,2025-08-26,keha,https://urn.fi/URN:NBN:fi-fe2025090193456
keha_2026052553099,Työllisyyskatsaus huhtikuu 2026 ﻿ ﻿ ﻿,fi,2026-05-27,keha,https://urn.fi/URN:NBN:fi-fe2026052553099
keha_2026041728645,Työllisyyskatsaus maaliskuu 2026 ﻿ ﻿,fi,2026-04-22,keha,https://urn.fi/URN:NBN:fi-fe2026041728645
keha_20260914125609,Employment Bulletin August 2026,,2026-09-22,keha,https://urn.fi/URN:NBN:fi-fe20260914125609
keha_2025092397515,Employment Bulletin August 2025,en,2025-09-23,keha,https://urn.fi/URN:NBN:fi-fe2025092397515
keha_2025090193444,Työllisyyskatsaus huhtikuu 2025,fi,2025-05-22,keha,https://urn.fi/URN:NBN:fi-fe2025090193444
keha_20260821118810,Employment Bulletin July 2026,en,2026-08-25,keha,https://urn.fi/URN:NBN:fi-fe20260821118810
keha_2025092397513,Työllisyyskatsaus elokuu 2025,fi,2025-09-23,keha,https://urn.fi/URN:NBN:fi-fe2025092397513
keha_20251021102406,Työllisyyskatsaus syyskuu 2025,fi,2025-10-21,keha,https://urn.fi/URN:NBN:fi-fe20251021102406
keha_2025090193450,Työllisyyskatsaus toukokuu 2025,fi,2025-06-25,keha,https://urn.fi/URN:NBN:fi-fe2025090193450
keha_20251121110078,Employment Bulletin October 2025,en,2025-11-25,keha,https://urn.fi/URN:NBN:fi-fe20251121110078
keha_2026052553107,Employment Bulletin April 2026 ﻿,en,2025-05-27,keha,https://urn.fi/URN:NBN:fi-fe2026052553107
