table_id,series_family,role,series_id,dimensions_json,forecast_scope,measure_code,is_forecast_target,is_auxiliary_feature,duplicate_group,authoritative_source,n_periods,n_non_null,coverage_ratio,zero_fraction,variance,time_first,time_last,selected,selection_reason
11l1,ATP_official,benchmark_target,11l1::contentscode=atp_eihoit,"{""contentscode"": ""atp_eihoit""}",national,atp_eihoit,False,True,,11l1,54,54,1.0,0.0,99331635.80246913,2013Q1,2026Q2,True,accepted
11l1,ATP_official,benchmark_target,11l1::contentscode=atp_lkm,"{""contentscode"": ""atp_lkm""}",national,atp_lkm,False,True,,11l1,54,54,1.0,0.0,255626354.5953361,2013Q1,2026Q2,True,accepted
11l1,ATP_official,benchmark_target,11l1::contentscode=atp_maar,"{""contentscode"": ""atp_maar""}",national,atp_maar,False,True,,11l1,54,54,1.0,0.0,73820617.28395063,2013Q1,2026Q2,True,accepted
11l1,ATP_official,benchmark_target,11l1::contentscode=atp_osa,"{""contentscode"": ""atp_osa""}",national,atp_osa,False,True,,11l1,54,54,1.0,0.0,11629811.385459533,2013Q1,2026Q2,True,accepted
11l1,ATP_official,benchmark_target,11l1::contentscode=atp_vaik,"{""contentscode"": ""atp_vaik""}",national,atp_vaik,False,True,,11l1,54,54,1.0,0.0,111962568.58710565,2013Q1,2026Q2,True,accepted
11n1,ATP_official,benchmark_target,11n1::alue_16_20180101=SA1|contentscode=atp_lkm,"{""alue_16_20180101"": ""SA1"", ""contentscode"": ""atp_lkm""}",broad_region,atp_lkm,False,True,,11n1,54,54,1.0,0.0,29983731.13854595,2013Q1,2026Q2,True,accepted
11n1,ATP_official,benchmark_target,11n1::alue_16_20180101=SA2|contentscode=atp_lkm,"{""alue_16_20180101"": ""SA2"", ""contentscode"": ""atp_lkm""}",broad_region,atp_lkm,False,True,,11n1,54,54,1.0,0.0,10509135.802469138,2013Q1,2026Q2,True,accepted
11n1,ATP_official,benchmark_target,11n1::alue_16_20180101=SA3|contentscode=atp_lkm,"{""alue_16_20180101"": ""SA3"", ""contentscode"": ""atp_lkm""}",broad_region,atp_lkm,False,True,,11n1,54,54,1.0,0.0,18388888.888888888,2013Q1,2026Q2,True,accepted
11n1,ATP_official,benchmark_target,11n1::alue_16_20180101=SA4|contentscode=atp_lkm,"{""alue_16_20180101"": ""SA4"", ""contentscode"": ""atp_lkm""}",broad_region,atp_lkm,False,True,,11n1,54,54,1.0,0.0,19703580.246913582,2013Q1,2026Q2,True,accepted
11n1,ATP_official,excluded_duplicate,11n1::alue_16_20180101=SSS|contentscode=atp_lkm,"{""alue_16_20180101"": ""SSS"", ""contentscode"": ""atp_lkm""}",national,atp_lkm,False,False,ATP_national_job_vacancies,11l1,54,54,1.0,0.0,255626354.5953361,2013Q1,2026Q2,False,duplicate_of_11l1_national
